Firstname,Lastname,OU,Password,Group
Jean,MOORE,Paris,P@ssw0rd,Marketing
Gilbert,BOMBARDIER,Paris,P@ssw0rd,Marketing
Slimane,NAMARA,Paris,P@ssw0rd,Marketing
Eddy,BENSI,Paris,P@ssw0rd,Marketing
Nicolas,AMORA,Paris,P@ssw0rd,Marketing
Alex,SALOMON,Paris,P@ssw0rd,Marketing
Sophie,BOOSTER,Paris,P@ssw0rd,Marketing
Tim,GATES,Marseille,P@ssw0rd,Marketing
Edouard,DUJARDIN,Marseille,P@ssw0rd,Marketing
Pierre,DESMARAIS,Marseille,P@ssw0rd,Marketing
James,PARKER,Marseille,P@ssw0rd,Marketing
Katia,PARIS,Marseille,P@ssw0rd,Finance
Mario,CHAN,Paris,P@ssw0rd,RD
Stephanie,HALL,Paris,P@ssw0rd,RD
Kim,YIN,Paris,P@ssw0rd,RD
Gary,FREN,Paris,P@ssw0rd,RD
Lois,VI,Paris,P@ssw0rd,RD
April,HAMILTON,Paris,P@ssw0rd,RD
Clark,ROSS,Paris,P@ssw0rd,RD
Luc,BIENAIME,Marseille,P@ssw0rd,RD
Jean-Pierre,ROSE,Marseille,P@ssw0rd,RD
Ben,RO,Marseille,P@ssw0rd,RD
Elisabeth,MOREAU,Marseille,P@ssw0rd,RD
Yan,YANG,Marseille,P@ssw0rd,RD
Indira,LOOS,Marseille,P@ssw0rd,RD
Oscar,TIJA,Marseille,P@ssw0rd,RD
Paloma,MOD,Paris,P@ssw0rd,RD
Quentin,WOODWARD,Paris,P@ssw0rd,RD
David,LOURDES,Paris,P@ssw0rd,IT
Shirley,LAWRENCE,Paris,P@ssw0rd,IT
Maeva,MONS,Paris,P@ssw0rd,IT
Doug,WALL,Paris,P@ssw0rd,IT
Harmony,MARIE,Paris,P@ssw0rd,IT
Jin,TRADERS,Marseille,P@ssw0rd,Direction
Kris,PATT,Paris,P@ssw0rd,Finance
Line,BAUREGARD,Paris,P@ssw0rd,Finance
Marion,MOON,Paris,P@ssw0rd,Finance
Erica,WATTS,Paris,P@ssw0rd,Direction
Louis,BERGER,Marseille,P@ssw0rd,Direction
